Descripción*;Grupo terapéutico
AMOXIDEL ;J01CA
AMOXIDEL BRONQUIAL ;R05CZ
AMOXIMEDICAL ;J01CA
AMOXIPEN ;J01CA
AMOXTIOL ;R05CZ
AMOXYPLUS ;J01CR
AMPHOCIL ;J02AA
AMPICILIBER BRONQUIAL ;R05CZ
AMPICILINA ;J01CA
AMPILEVEL ;J01CA
AMPILPRATS ;J01CA
AMPIPLUS ;J01CA
AMPIPULMO ;J01CA
AMPIRETARD ;J01CE
AMPLIBIOT ;J01CA
AMPLIDERMIS ;D07XB
AMSACRINA PARKE DAVIS ;L01XX
AMUNOVAX;J07BD
ANABOLICO ;A13AA
ANACALCIT ;V03AG
ANACERVIX ;C04AX
ANACLOSIL ;J01CF
ANAFRANIL ;N06AA
ANAGASTRA ;A02BC
ANALGESICO PYRE ;N02BA
ANALGESICO UT ASENS ;M02AX
ANALGILASA ;N02BE
ANALGILASA RECTAL ;A03DB
ANALGIOL ;N02BE
ANALGIPLUS ;N02BE
ANALQUINA ;N02CA
ANALTER;N02BE
ANALUX ;S01GA
ANAPEN ;C01CA
ANAPROX;M01AE
ANASILPIEL ;D07CB
ANASMA ;R03AK
ANASTROZOL ;L02BG
ANATAC ;R05CB
ANATOPIC ;D07AC
ANATOXAL DI BERNA ;J07AF
ANATOXAL DI TE BERNA ;J07AM
ANATOXAL DITEPER BERNA ;J07AJ
ANATOXAL TE BERNA ;J07AM
ANBINEX ;B01AB
ANCIVIN ;J05AB
ANDARSIL ;A02AF
ANDROCUR;G03HA
ANDRODERM ;G03BA
ANDUR ;M01AX
ANECTINE ;M03AB
ANESTECIDAN NORADRENALIN ;N01BB
ANESTEFARIN ;R02AA
ANESTESIA LOCAL BRAUN CON ADRENALINA;N01BB
ANESTESIA LOCAL BRAUN SIN ADRENALINA ;N01BA
ANESTESIA OFTALMICA MIRO;N01BB
ANESTESIA TOPICA BRAUN CON ADRENALINA;N01BA
ANESTESIA TOPICA BRAUN SIN ADRENALINA ;N01BA
ANESTINA ;N01BB
ANEUROL;N05BA
ANEXATE;V03AB
ANFOCOL ;A05AB
ANFOTERICINA B ;J02AA
ANGELIQ ;G03FA
ANGIFONIL ;R02AA
ANGILEPTOL ;R02AA
ANGIMONIUM ;J01CA
ANGINOCOM ;R02AA
ANGINOVAG;R02AA
ANGIOCIS ;V09GA
ANGIODROX ;C08DB
ANGIOSEDANTE;R03DA
ANGIOX ;B01AE
ANIMIC ;N06AX
ANODESYN ;C05AA
ANPEVAL;B01AC
ANSATIPIN ;J04AB
ANSICED;N05BE
ANSIOKEY ;N05CM
ANSIOWAS ;N05BC
ANSIUM ;N05BA
ANSO POMADA ;C05AA
ANTABUS ;N07BB
ANTALCONE ;N07BB
ANTALGIN ;M01AE
ANTAXONE ;N07BB
ANTHRANOL ;D05AD
ANTI ACNE LEO ;D10AX
ANTI ANOREX TRIPLE SOLUCION;A15AA
ANTIACIDO ENO ;A02AD
ANTIACIDO SALUD ;A02AD
ANTIBIOFILUS ;A07FA
ANTIBIOPEN;J01CA
ANTICATARRAL EDIGEN;R05X
ANTICERUMEN LIADE ;S02DC
ANTICONGESTIVA CUSI ;D02AB
ANTICUDE ;N07AA
ANTIDOL ;N02BE
ANTIDOTO ARVIN KNOLL ;B02B
ANTIFLOXIL ;M01AX
ANTIFORUNCULO MIGUEZ ;V03AX
ANTIGRIETUN ;D07XA
ANTIHEMORROIDAL CINFA ;C05AA
ANTIHISTAMINICO LLORENS ;S01GX
ANTIN ;G03AA
ANTIN DIARIO;G03AA
ANTINELLE ;G03AA
ANTINELLE DIARIO ;G03AA
ANTINEURINA ;A11DB
ANTIOBES RETARD ;A08AA
ANTIRRINUM ;R01AB
ANTIRRINUM NEBULIZADOR ;R01AA
ANTISEPT ;D08AC
ANTISTAX ;C05CX
ANTITOXINA DIFTERICA BERNA ;J06AA
ANTITOXINA TETAN BERNA;J06AA
ANTIVERRUGAS ISDIN ;D11AF
ANTODREL;S01EB
ANTOMIOPIC ;A11JC
ANTOPAL ;C10AB
ANUAR ;A12AX
ANUSOL POMADA ;C05AD
AP INYECT SOLUCION CLORURO POTASICO;A12BA
APAMOX ;J01CA
APIDRA ;A10AB
APIDRA OPTISET ;A10AB
APIDRA SOLOSTAR;A10AB
APIFOR;C04AX
APIR BICARBONATO SOD ;B05XA
APIR CLORURADO SIMPLE;B05XA
APIR CLORURO AMONICO;B05XA
APIR GLUCOIBYS ;B05BA
APIR GLUCOPOTASICO;B05XA
APIR GLUCOSADO ISOTONICO;B05BA
APIR GLUCOSALINO ;B05BB
APIR LEVULOSA ;B05BA
APIR MANITOL ;B05BC
APIR NORMAION RESTAURA ;B05BB
APIR RINGER ;B05BB
APIREDOL ;N02BE
APIRETAL ;N02BE
APIROFENO;M01AE
APIROFLEX CLORURADO;B05XA
APIROFLEX GLUCOSADA ;B05BA
APIROFLEX GLUCOSALINA;B05BB
APIROSERUM CLORURADO HIPERTONICO;B05BB
APIROSERUM CLORURADO SIMPLE ;B05BB
APIROSERUM RINGER ;B05BB
APL ;G03XA
APLAKIL ;N05BA
APOCARD ;C01BC
APO-GO PEN;N04BC
APO-GO PFS ;N04BC
APOGRIP;R05X
APOMORFINA ARCHIMEDES;N04BC
APRICAL DOPAMINA SIMES ;C01CA
APROVEL ;C09CA
APTEOR ;C10AB
APTIVUS ;J05AE
AQUCILINA ;J01CE
AQUIFLAV ;G02CX
AQUITOS ;R05DA
AQUOMIN ;D01AE
AQUOMIN VAGINAL ;G01AX
ARACALM ;N05AL
ARACENAC ;M01AB
ARACIDINA;A02BA
ARAFAXINA ;N06AX
ARAFISIO ;M01AX
ARAFRIOL;R05X
ARAGEL ;M02AA
ARAHORMO ;G04CB
ARAINNO ;C08CA
ARALEVO;R06AE
ARALTER ;C09CA
ARALTER PLUS ;C09DA
ARANESP ;B03XA
ARANKA ;G03AA
ARANKELLE;G03AA
ARAPAMIN ;B01AC
ARAPAXEL ;N06AB
ARAPRIDE ;A02BC
ARATRO ;J01FA
ARAVA ;L04AA
ARAXACINA;J01MA
ARCALION ;A11DA
ARCASIN ;A03FA
ARCENTAL ;M01AE
ARCENTAL TOPICA;M02AA
ARCID ;A02BA
ARCOIRAN ;N02CC
ARCOXIA ;M01AH
ARDINE ;J01CA
ARDINE BRONQUIAL ;R05CZ
ARDINECLAV ;J01CR
ARDORAL ;A02BA
AREDIA ;M05BA
AREMIS ;N06AB
ARENBIL ;N05AH
AREUZOLIN ;J01DB
ARGANOVA ;B01AE
ARGENPAL ;D08AL
ARGENTOCROMO ;A01AB
ARGENTOFENOL ;A01AB
ARICEPT;N06DA
ARILVAX ;J07BL
ARIMIDEX ;L02BG
ARIXTRA ;B01AX
ARKETIN ;N05AX
ARKOCAPSULAS ALCACHOFA ;A05AX
ARKOCAPSULAS AMAPOLA DE CALIFORNIA ;N05CM
ARKOCAPSULAS BARDANA;D10BX
ARKOCAPSULAS BOLDO ;A16AX
ARKOCAPSULAS BREZO ;G04BX
ARKOCAPSULAS CAMILINA ;A08AX
ARKOCAPSULAS CARBON VEGETAL;A07BA
ARKOCAPSULAS CARDO MARIANO ;A05BA
ARKOCAPSULAS CASCARA SAGRADA;A06AB
ARKOCAPSULAS CASTAÑO DE INDIAS ;C05CX
ARKOCAPSULAS COLA DE CABALLO ;C03DB
ARKOCAPSULAS ECHINACEA;R07AX
ARKOCAPSULAS ELEUTEROCOCO;A13AA
ARKOCAPSULAS ESPINO ALBAR ;C01EB
ARKOCAPSULAS FUCUS;A06AX
ARKOCAPSULAS FUMARIA;A05AX
ARKOCAPSULAS GAYUBA ;G04BX
ARKOCAPSULAS GINKGO ;N06DX
ARKOCAPSULAS GINSENG ;A13AA
ARKOCAPSULAS GROSELLERO NEGRO ;M09AX
ARKOCAPSULAS GUARANA;A13AA
ARKOCAPSULAS HAMAMELIS ;C05CX
ARKOCAPSULAS HARPAGOFITO;M09AX
ARKOCAPSULAS HINOJO ;A03AX
ARKOCAPSULAS HIPERICO ;N06BX
ARKOCAPSULAS MELISA ;N05CM
ARKOCAPSULAS MIGRANELA;N02CX
ARKOCAPSULAS OLIVO ;C03BX
ARKOCAPSULAS ORTOSIFON ;C03BX
ARKOCAPSULAS PASIFLORA;N05CM
ARKOCAPSULAS RAIZ DE ORTIGA ;G04CX
ARKOCAPSULAS RUSCO ;C05CX
ARKOCAPSULAS SEN ;A06AB
ARKOCAPSULAS VALERIANA ;N05CM
ARKOCAPSULAS VELLOSILLA ;C03BX
ARKOCAPSULAS VID ROJA ;C05CX
ARKOTUX ;R05CB
ARMAYA ;D05BX
ARMIL CONCENTRADO ;D08AJ
ARNICON ;M02AC
AROMASIL;L02BG
AROVIT ;A11CA
AROVIT C ;A11GB
ARTANE;N04AA
ARTEDIL ;C08CA
ARTENSEN ;C04AX
ARTEOLOL;C07AA
ARTEOPTIC ;S01ED
ARTEPARON;M01AX
ARTERIOVINCA ;C04AX
ARTICAINA/EPINEFRINA ;N01BB
ARTICALM ;M02AA
ARTIFIC ;S01XA
ARTILOG ;M01AH
ARTINIBSA ;N01BB
ARTRAGIL ;M01AC
ARTRI MEDICAL ;M01AB
ARTRINOVO;M01AB
ARTRINOVO DEBIL ;M01AB
ARTRIUNIC ;M01AC
ARTRIVIA PREDNISOLONA;M01BA
ARTRIZAN ;M01AX
ARTROCAPTIN;M01AB
ARTRODESMOL EXTRA TOPICO ;M02AC
ARTROGLOBINA ;J06BA
ARTROGOTA ;M02AC
ARTROSAL LINIMENTO;M02AX
ARTROTEC ;M01AB
ARUCOM ;S01ED
ARUDEL ;C10AA
ARULATAN ;S01EE
ARUSOPT ;S01EC
ARVIN KNOLL;B01AD
ARZIMOL ;J01DC
ASASANTIN ;B01AC
ASBOI ;N02BA
ASCORBAMINA ;A13AA
ASERIN ;N06AB
ASEY ;J01MA
ASFIDE ;G04CB
ASIMIL B12 ;B03BA
ASL NORMON ;N02BA
ASMABEC CLICKHALER ;R03BA
ASMANEX TWISTHALER ;R03BA
ASMASAL CLICKHALER ;R03AC
ASMINSEDANTE ;R03DB
ASPAC ;N02BE
ASPAIME;R01AB
ASPAIME GOTAS ;R01AB
ASPAIME TOPICO ;D11AX
ASPARTONO;A13AA
ASPASERINE B6 TRANQUILIZANTE ;N05BA
ASPIDOLCE ;N02BA
ASPINFANTIL 125 MG;N02BA
ASPIRINA ;N02BA
ASPIRINA C ;N02BA
ASPIRINA COMPLEX ;N02BA
ASPIRINA INFANTIL ;N02BA
ASPIRINA PLUS ;N02BA
ASPITOPIC;M02AA
ASPRO ;N02BA
ASTEFOR ;N02BG
ASTEMIZOL ;R06AX
ASTEMIZOLE ;R06AX
ASTENOLIT ;A13AA
ASTONIN ;H02AA
ASTRIN ;N06AB
ASTRINGENTE LLORENS ;S01GA
ASTUCOR ;C10BX
ASTUDAL ;C08CA
ATACAND ;C09CA
ATACAND PLUS ;C09DA
ATACAND PLUS FORTE;C09DA
ATARAX ;N05BB
ATARONE;C10AX
ATEGE FRESENIUS ;L04AA
ATENATIV ;B01AB
ATENOLOL ;C07AB
ATEPODIN SUBLIN ;A13AA
ATERINA ;C10AX
ATERKEY ;C10AA
ATGAM ;L04AA
ATIRAMIN;R01BA
ATISURIL ;M01AB
ATIVOL ;G04CB
ATORIS ;C10AA
ATORNIL;N05AX
ATORVASTATINA ;C10AA
ATRIANCE ;L01BB
ATRIDOX ;A01AB
ATRIPLA ;J05AR
ATRISCAL ;M01AE
ATROALDO ;R03BB
ATROPINA INY ;A03BA
ATROPINA LLORENS  COLIRIO ;S01FA
ATROVENT ;R03BB
ATROVENT NASAL ;R01AX
ATRYN ;B01AB
AUDAZOL ;A02BC
AUDIONE ;A11BA
AUGMENTINE ;J01CR
AULCER ;A02BC
AUREOMICINA ;J01AA
AUREOMICINA TOPICO ;D06AA
AUROCLIM ;G03FB
AUTOPLEX T COMPLEJO COAG ;B02BD
AUXIDOR ;N02BE
AUXINA A MASIVA ;A11CA
AUXINA A+E NORMAL;A11JA
AUXINA COMPLEJO B ;A11EA
AUXINA E ;A11HA
AVAGLIM ;A10BD
AVALA ;G02CX
AVAMYS;R01AD
AVANDAMET ;A10BD
AVANDIA ;A10BG
AVASTIN;L01XC
AVIDART ;G04CB
AVONEX ;L03AB
AVRIL ;D03AX
AWAR ;C08CA
AXIAGO ;A02BC
AXURA ;N06DX
AYDOLID ;N02BA
AZACTAM;J01DF
AZALIA ;G03AC
AZARGA;S01ED
AZARON ;D04AA
AZELASTINA ;R01AC
AZILECT ;N04BD
AZITROMICINA ;J01FA
AZODERMOL 5;M02AA
AZOL POLVO;D06BA
AZOMYR;R06AX
AZONUTRIL ;B05BA
AZOPT ;S01EC
AZUBEN ;J01MA
AZULINA;S01GA
AZYDROP ;S01AA
AZZALURE;M03AX
B COMPLEX FOSFORILADO ;A11EA
B4 HEMOSAN ;A11HA
BABYPIRIL ;M01AE
BABYSITON ;D02AB
BACCIDAL ;J01MA
BACIMEX ;J01CR
BACISPORIN ;D07CA
BACLOFENO ;M03BX
BACTIFOR ;J01EE
BACTIFOR FORTE ;J01EE
BACTIL ;R06AX
BACTIL FORTE ;R06AX
BACTOSONE RETARD ;R05CZ
BACTROBAN ;D06AX
BALANCE GLUCOSA CALCIO ;B05DB
BALIANCA ;G03AA
BALIANCA DIARIO ;G03AA
BALMINIL ;C08CA
BALNEOGEL ;D11AX
BALODIN ;J01FA
BALSABIT ;D04AB
BALSAMO ANALGESIC KARMEL ;M02AX
BALSAMO KNEIPP ;R05X
BALSAMO MIDALGAN;M02AC
BALSAMO ZIMBO ;D02AX
BALSOPRIM ;R05CZ
BALZAK ;C09DB
BALZAK PLUS ;C09DX
BAMALITE ;A02BC
BAMALITE FLAS ;A02BC
BAMBEC ;R03CC
BANDOL ;N02BE
BANEDIF ;D06AX
BANTENOL ;P02CA
BAÑOFTAL ;S01XA
BAÑOPIE ;D11AX
BARACLUDE ;J05AF
BARALGIN;A03DB
BARDISAN ;C10AX
BARIGRAF AD ;V08BA
BARILUX AD ;V08BA
BARIO LLORENTE ;V08BA
BARIOPACIN ;V08BA
BARIPRIL ;C09AA
BARIPRIL DIU ;C09BA
BARNASCAN ;V09IX
BARNIX ;C08CA
BAS DEXTRAN SALINO ;B05AA
BASECIDINA;R07AX
BATENAC;C08CX
BATMEN ;D07AC
BATRAFEN ;D01AE
BATRAFEN VAGINAL ;G01AX
BAYCIP ;J01MA
BAYCIP OTICO ;S02AA
BAYPEN ;J01CA
BAYPRESOL ;C08CA
BAZALIN;D07XC
BEBESALES ;A07CA
BEBULIN IMMUNO TIM ;B02BD
BECLO ASMA ;R03BA
BECLO RINO ;R01AD
BECLOENEMA ;A07EA
BECLOFORTE INHALADOR ;R03BA
BECLOMET EASYHALER ;R03BA
BECLOSONA ;D07AC
BECONASE NASAL ;R01AD
